Summary of Missing Files:
  Total simulations with missing files: 1417
  Simulation 47, Vegetation: grass, Wind Direction: 180o0deg - Missing files: ALL files missing
  Simulation 47, Vegetation: grass, Wind Direction: 202o5deg - Missing files: ALL files missing
  Simulation 47, Vegetation: grass, Wind Direction: 225o0deg - Missing files: ALL files missing
  Simulation 47, Vegetation: grass, Wind Direction: 247o5deg - Missing files: ALL files missing
  Simulation 47, Vegetation: grass, Wind Direction: 270o0deg - Missing files: ALL files missing
  Simulation 47, Vegetation: grass, Wind Direction: 292o5deg - Missing files: ALL files missing
  Simulation 47, Vegetation: grass, Wind Direction: 315o0deg - Missing files: ALL files missing
  Simulation 47, Vegetation: grass, Wind Direction: 337o5deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 0o0deg - Missing files: *.vtk, *ang.asc, *ang.prj, *vel.asc, *vel.prj
  Simulation 49, Vegetation: grass, Wind Direction: 22o5deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 45o0deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 67o5deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 90o0deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 112o5deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 135o0deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 157o5deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 180o0deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 202o5deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 225o0deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 247o5deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 270o0deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 292o5deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 315o0deg - Missing files: ALL files missing
  Simulation 49, Vegetation: grass, Wind Direction: 337o5deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 0o0deg - Missing files: *.vtk
  Simulation 51, Vegetation: grass, Wind Direction: 22o5deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 45o0deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 67o5deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 90o0deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 112o5deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 135o0deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 157o5deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 180o0deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 202o5deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 225o0deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 247o5deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 270o0deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 292o5deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 315o0deg - Missing files: ALL files missing
  Simulation 51, Vegetation: grass, Wind Direction: 337o5deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 0o0deg - Missing files: *.vtk
  Simulation 57, Vegetation: grass, Wind Direction: 22o5deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 45o0deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 67o5deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 90o0deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 112o5deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 135o0deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 157o5deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 180o0deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 202o5deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 225o0deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 247o5deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 270o0deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 292o5deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 315o0deg - Missing files: ALL files missing
  Simulation 57, Vegetation: grass, Wind Direction: 337o5deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 0o0deg - Missing files: *.vtk, *ang.asc, *ang.prj, *vel.asc, *vel.prj
  Simulation 59, Vegetation: grass, Wind Direction: 22o5deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 45o0deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 67o5deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 90o0deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 112o5deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 135o0deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 157o5deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 180o0deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 202o5deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 225o0deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 247o5deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 270o0deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 292o5deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 315o0deg - Missing files: ALL files missing
  Simulation 59, Vegetation: grass, Wind Direction: 337o5deg - Missing files: ALL files missing
  Simulation 60, Vegetation: brush, Wind Direction: 157o5deg - Missing files: *.vtk, *ang.asc, *ang.prj, *vel.asc, *vel.prj
  Simulation 60, Vegetation: brush, Wind Direction: 180o0deg - Missing files: ALL files missing
  Simulation 60, Vegetation: brush, Wind Direction: 202o5deg - Missing files: ALL files missing
  Simulation 60, Vegetation: brush, Wind Direction: 225o0deg - Missing files: ALL files missing
  Simulation 60, Vegetation: brush, Wind Direction: 247o5deg - Missing files: ALL files missing
  Simulation 60, Vegetation: brush, Wind Direction: 270o0deg - Missing files: ALL files missing
  Simulation 60, Vegetation: brush, Wind Direction: 292o5deg - Missing files: ALL files missing
  Simulation 60, Vegetation: brush, Wind Direction: 315o0deg - Missing files: ALL files missing
  Simulation 60, Vegetation: brush, Wind Direction: 337o5deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 0o0deg - Missing files: *.vtk, *ang.asc, *ang.prj, *vel.asc, *vel.prj
  Simulation 62, Vegetation: grass, Wind Direction: 22o5deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 45o0deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 67o5deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 90o0deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 112o5deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 135o0deg - Missing files: ALL files missing
